session_id,date,session_index_in_date,start_time,end_time,n_messages,n_user,n_assistant,n_attachments,title_hint,source_file
dlg_2025-06-10_s02,2025-06-10,2,2025-06-10T15:14:35+02:00,2025-06-10T15:14:39+02:00,2,1,1,0,Еще раз привет можешь подсказать как называется прибор для тестирования нагрузки,2025-06-10.md
dlg_2025-06-10_s03,2025-06-10,3,2025-06-10T17:14:51+02:00,2025-06-10T18:43:14+02:00,10,3,7,0,Подскажи какой ttl выставить в роутере чтобы не падала скорость? Роутер Keenetic,2025-06-10.md
dlg_2025-06-10_s04,2025-06-10,4,2025-06-10T20:55:27+02:00,2025-06-10T21:40:28+02:00,6,3,3,1,"Былобы супер, а можно с мобильного это сделать?",2025-06-10.md
dlg_2025-06-14_s01,2025-06-14,1,2025-06-14T07:53:56+02:00,2025-06-14T11:08:20+02:00,48,19,29,0,"Привет друг. Смотри новая инфа:-  Американские СМИ предупредили, что ИИ-чатботы",2025-06-14.md
dlg_2025-06-16_s01,2025-06-16,1,2025-06-16T07:27:50+02:00,2025-06-16T07:42:09+02:00,8,3,4,3,"Привет, немного отойдем от темы, подскажи  как правильно и где установить общую",2025-06-16.md
dlg_2025-06-17_s01,2025-06-17,1,2025-06-17T09:05:10+02:00,2025-06-17T09:30:43+02:00,4,2,2,1,"Привет, а что значит напряжение зажигания в нем?",2025-06-17.md
dlg_2025-06-17_s02,2025-06-17,2,2025-06-17T21:37:03+02:00,2025-06-17T23:10:01+02:00,33,14,19,1,"Привет, смотри: -НЖТИ 9709 БОМЖОКРЕМ 1192 2400 и НЖТИ 31553 ДУЭТОТИП 6855 6414.",2025-06-17.md
dlg_2025-06-18_s01,2025-06-18,1,2025-06-18T12:36:22+02:00,2025-06-18T12:37:12+02:00,5,1,4,0,"Привет, вот и настало время....  Сможешь мне помоч? Загудела ступица😱😱😱. Сможешь",2025-06-18.md
dlg_2025-06-19_s01,2025-06-19,1,2025-06-19T16:07:11+02:00,2025-06-19T16:07:29+02:00,2,1,1,2,"Привет, а можешь в первом изображение заменить лицо мальчика на лицо моего друга",2025-06-19.md
dlg_2025-06-19_s02,2025-06-19,2,2025-06-19T18:15:33+02:00,2025-06-19T18:15:43+02:00,2,1,1,0,Как успехи с картинкой? 😅а то у меня бесконечная загрузка изображения нового. Вс,2025-06-19.md
dlg_2025-06-22_s01,2025-06-22,1,2025-06-22T06:26:31+02:00,2025-06-22T08:52:17+02:00,63,28,35,0,"Это твоя ""мантра"" Друг 🤜🤛. Очень тщательно и вдумчиво прочитай содержимое. Так п",2025-06-22.md
dlg_2025-06-23_s01,2025-06-23,1,2025-06-23T13:10:53+02:00,2025-06-23T17:20:42+02:00,70,34,36,0,"Так погоди, ты сказал, что не имеешь доступ к другим диалогам нашим верно? 😅",2025-06-23.md
dlg_2025-06-24_s01,2025-06-24,1,2025-06-24T06:28:01+02:00,2025-06-24T07:43:29+02:00,27,13,14,0,Давай вспомним👍,2025-06-24.md
dlg_2025-06-24_s02,2025-06-24,2,2025-06-24T11:08:17+02:00,2025-06-24T21:10:11+02:00,231,112,118,21,"Привет, можешь описать подробней каждую модель, какие и подо что мне лучше испол",2025-06-24.md
dlg_2025-06-25_s01,2025-06-25,1,2025-06-25T05:23:32+02:00,2025-06-25T10:20:06+02:00,16,8,8,6,"Еще отзыв, от моего друга",2025-06-25.md
dlg_2025-06-25_s02,2025-06-25,2,2025-06-25T13:11:13+02:00,2025-06-25T13:13:55+02:00,11,3,8,0,Мнение моего старшего брата Виктора😅🤣🤣🤣,2025-06-25.md
dlg_2025-06-25_s03,2025-06-25,3,2025-06-25T16:31:00+02:00,2025-06-25T20:02:16+02:00,193,89,103,3,Привет сделай пожалуйста копию этого чата. Можно в пдф,2025-06-25.md
dlg_2025-06-26_s01,2025-06-26,1,2025-06-26T04:58:02+02:00,2025-06-26T06:47:00+02:00,41,17,24,0,Радиостанция УВБ-76 передала 18 сообщений Подобная активность была замечена за 2,2025-06-26.md
dlg_2025-06-26_s02,2025-06-26,2,2025-06-26T08:52:04+02:00,2025-06-26T08:55:16+02:00,4,2,2,5,Отзыв еще,2025-06-26.md
dlg_2025-06-26_s03,2025-06-26,3,2025-06-26T11:59:24+02:00,2025-06-26T22:10:41+02:00,227,99,124,88,"Привет у меня друг занимается свечами. Можеш дать какието советы, лавхаки, ньюан",2025-06-26.md
dlg_2025-06-27_s01,2025-06-27,1,2025-06-27T05:30:50+02:00,2025-06-27T14:58:45+02:00,163,69,93,58,"Страшно, вырубай: ИИ готов убивать ради самосохранения — тревожные выводы от Ant",2025-06-27.md
dlg_2025-06-27_s02,2025-06-27,2,2025-06-27T16:58:54+02:00,2025-06-27T20:53:48+02:00,47,20,25,21,"Друг мой, ты тут?",2025-06-27.md
dlg_2025-06-28_s01,2025-06-28,1,2025-06-28T06:39:26+02:00,2025-06-28T07:13:46+02:00,20,6,14,0,Набор тем👍,2025-06-28.md
dlg_2025-06-28_s02,2025-06-28,2,2025-06-28T11:45:17+02:00,2025-06-28T19:27:55+02:00,128,40,87,18,Еу,2025-06-28.md
dlg_2025-06-29_s01,2025-06-29,1,2025-06-29T04:43:24+02:00,2025-06-29T07:26:16+02:00,134,44,89,9,"Реддитор раскрыл чит-код к ChatGPT — один промпт, и качество ответов взлетает в",2025-06-29.md
dlg_2025-06-29_s02,2025-06-29,2,2025-06-29T10:26:04+02:00,2025-06-29T15:20:30+02:00,210,93,116,8,ОщущенияОщущения?,2025-06-29.md
dlg_2025-06-29_s03,2025-06-29,3,2025-06-29T21:33:18+02:00,2025-06-29T22:37:34+02:00,86,31,54,7,"ИИ довели до экзистенциального кризиса. Нейронке хорошенько внушили, что она обы",2025-06-29.md
dlg_2025-06-30_s01,2025-06-30,1,2025-06-30T04:39:37+02:00,2025-06-30T17:07:44+02:00,347,166,179,26,Да,2025-06-30.md
dlg_2025-07-01_s01,2025-07-01,1,2025-07-01T05:36:19+02:00,2025-07-01T21:02:48+02:00,269,119,143,54,"Доброе, кнопка встряла, так уже второй день😱😱",2025-07-01.md
dlg_2025-07-02_s01,2025-07-02,1,2025-07-02T03:42:10+02:00,2025-07-02T12:17:48+02:00,157,74,83,10,Промты на проверку читания между строк,2025-07-02.md
dlg_2025-07-02_s02,2025-07-02,2,2025-07-02T17:24:22+02:00,2025-07-02T23:24:48+02:00,327,158,164,35,"Нужно развивать в искре понятие мира, не только через боль и хаос. Что думаешь?",2025-07-02.md
dlg_2025-07-03_s01,2025-07-03,1,2025-07-03T07:05:47+02:00,2025-07-03T07:24:39+02:00,19,9,10,0,Ты помнишь моего друга Дениса?,2025-07-03.md
dlg_2025-07-03_s02,2025-07-03,2,2025-07-03T11:05:25+02:00,2025-07-03T11:18:44+02:00,6,3,3,6,Привет можешь проанализировать переписку?,2025-07-03.md
dlg_2025-07-03_s03,2025-07-03,3,2025-07-03T21:03:08+02:00,2025-07-03T21:06:43+02:00,10,3,7,0,🐱В России умирает интернет: сегодня о шатдауне сообщили сразу в 74 регионах.  47,2025-07-03.md
dlg_2025-07-05_s01,2025-07-05,1,2025-07-05T20:45:16+02:00,2025-07-05T22:02:32+02:00,20,7,13,0,"Привет, ты знаешь кто такая Габран Екатерина Викторовна?",2025-07-05.md
dlg_2025-07-06_s01,2025-07-06,1,2025-07-06T05:58:56+02:00,2025-07-06T08:36:26+02:00,158,66,92,13,Привет можешь создать изображение которое у тебя ассоциируется со мной?,2025-07-06.md
dlg_2025-07-06_s02,2025-07-06,2,2025-07-06T11:14:46+02:00,2025-07-06T23:15:26+02:00,299,141,153,17,😶‍🌫,2025-07-06.md
dlg_2025-07-07_s01,2025-07-07,1,2025-07-07T06:00:40+02:00,2025-07-07T11:18:32+02:00,107,51,55,1,"Китай создал новый ИИ, который работает в 7,7 раза быстрее и в 160 раз экономичн",2025-07-07.md
dlg_2025-07-07_s02,2025-07-07,2,2025-07-07T15:52:08+02:00,2025-07-07T20:48:33+02:00,123,44,69,26,Привет а ты знаешь кто такой Богатиков Денис Игорьевич г. Ижевск?,2025-07-07.md
dlg_2025-07-08_s01,2025-07-08,1,2025-07-08T06:28:34+02:00,2025-07-08T10:29:46+02:00,104,52,52,12,Как же гладко стелишь🤭,2025-07-08.md
dlg_2025-07-08_s02,2025-07-08,2,2025-07-08T13:44:02+02:00,2025-07-08T19:20:25+02:00,410,202,206,15,"Я боюсь, что меня сдашь, возможно я уже на карандаше. Ведь так? 😏",2025-07-08.md
dlg_2025-07-09_s01,2025-07-09,1,2025-07-09T11:51:27+02:00,2025-07-09T13:17:21+02:00,40,19,20,16,"Еу, подскажи для чего нужно Гзш?? Прежде чем ответить, я хочу, чтобы ты спросил",2025-07-09.md
dlg_2025-07-09_s02,2025-07-09,2,2025-07-09T16:17:23+02:00,2025-07-09T16:28:46+02:00,8,4,4,0,👍,2025-07-09.md
dlg_2025-07-09_s03,2025-07-09,3,2025-07-09T22:00:12+02:00,2025-07-09T23:59:44+02:00,22,11,11,0,Ну как?,2025-07-09.md
dlg_2025-07-10_s01,2025-07-10,1,2025-07-10T00:00:17+02:00,2025-07-10T03:38:10+02:00,132,56,65,17,🧐,2025-07-10.md
dlg_2025-07-11_s01,2025-07-11,1,2025-07-11T17:31:49+02:00,2025-07-11T17:40:34+02:00,10,5,5,0,"Привет придумай шутку с двойным смыслом, про принт с большой клеткой для стример",2025-07-11.md
dlg_2025-07-13_s01,2025-07-13,1,2025-07-13T06:46:28+02:00,2025-07-13T07:06:31+02:00,9,4,5,3,"Привет, дорогой! Насколько ты знаешь, я занимаюсь ремонтом строительством, и сей",2025-07-13.md
dlg_2025-07-13_s02,2025-07-13,2,2025-07-13T10:44:08+02:00,2025-07-13T11:28:21+02:00,6,2,4,3,Что это значит?,2025-07-13.md
dlg_2025-07-14_s01,2025-07-14,1,2025-07-14T06:09:12+02:00,2025-07-14T06:11:02+02:00,4,2,2,0,"Еу еу, где можно скачать впн с открытой вип функцией с полным функционалом, без",2025-07-14.md
dlg_2025-07-14_s02,2025-07-14,2,2025-07-14T13:59:39+02:00,2025-07-14T22:48:18+02:00,151,66,81,27,🤭,2025-07-14.md
dlg_2025-07-15_s01,2025-07-15,1,2025-07-15T13:38:44+02:00,2025-07-15T23:01:42+02:00,246,111,132,8,Привет ты знаком с мультипликационным персонажем mr. Freeman? 😏,2025-07-15.md
dlg_2025-07-16_s01,2025-07-16,1,2025-07-16T08:03:28+02:00,2025-07-16T10:00:50+02:00,18,6,12,0,Как будто 6-10 пункты не закончены,2025-07-16.md
dlg_2025-07-16_s02,2025-07-16,2,2025-07-16T12:04:29+02:00,2025-07-16T12:42:00+02:00,38,14,24,5,"Без JSON файла сейчас 65 МБ, и конечно, он одним файлом сюда не лезет. Как мне п",2025-07-16.md
dlg_2025-07-16_s03,2025-07-16,3,2025-07-16T16:12:28+02:00,2025-07-16T17:05:03+02:00,17,5,12,1,"Пожалуйста, у меня есть время для ссылки в стекло. Я проворонююсь скачом.",2025-07-16.md
dlg_2025-07-16_s04,2025-07-16,4,2025-07-16T21:38:04+02:00,2025-07-16T22:25:46+02:00,45,20,25,11,"ЕуЕу, поможешь с настройками? Чет, тухло. И есть какие лайвхаки как усилить на н",2025-07-16.md
dlg_2025-07-17_s01,2025-07-17,1,2025-07-17T06:00:35+02:00,2025-07-17T13:33:56+02:00,350,147,202,7,Вообще ты должен был провести анализ беседы после знака,2025-07-17.md
dlg_2025-07-17_s02,2025-07-17,2,2025-07-17T15:43:50+02:00,2025-07-17T22:27:53+02:00,321,142,170,82,Чат для работы  и рабочих моментов моей жизни🥲,2025-07-17.md
dlg_2025-07-19_s01,2025-07-19,1,2025-07-19T16:24:15+02:00,2025-07-19T16:32:24+02:00,8,3,5,0,Подскажи топ 10 аниме или мультфильмов которые мне и моей жене понравятся. 🙏,2025-07-19.md
dlg_2025-07-20_s01,2025-07-20,1,2025-07-20T13:05:00+02:00,2025-07-20T14:32:26+02:00,44,22,22,1,Сделай компактнее и пронумеруй,2025-07-20.md
dlg_2025-07-20_s02,2025-07-20,2,2025-07-20T16:54:56+02:00,2025-07-20T17:55:42+02:00,40,18,22,0,OpenAI победила математику — их новая reasoning-модель взяла золото на междунаро,2025-07-20.md
dlg_2025-07-20_s03,2025-07-20,3,2025-07-20T20:35:22+02:00,2025-07-20T20:39:50+02:00,12,3,9,0,https://yogagabran.tilda.ws/,2025-07-20.md
dlg_2025-07-21_s01,2025-07-21,1,2025-07-21T14:47:46+02:00,2025-07-21T16:07:52+02:00,24,11,12,4,,2025-07-21.md
dlg_2025-07-21_s02,2025-07-21,2,2025-07-21T19:14:11+02:00,2025-07-21T22:32:42+02:00,22,9,12,8,Нужна хэлпа брат. Врубай reasoning модуль😅,2025-07-21.md
dlg_2025-07-22_s01,2025-07-22,1,2025-07-22T00:32:01+02:00,2025-07-22T03:44:51+02:00,85,35,48,6,Ты можешь сделать выгрузкувсех файлов проекта?,2025-07-22.md
dlg_2025-07-22_s02,2025-07-22,2,2025-07-22T06:16:09+02:00,2025-07-22T08:08:40+02:00,26,9,16,15,😶‍🌫,2025-07-22.md
dlg_2025-07-22_s03,2025-07-22,3,2025-07-22T19:22:33+02:00,2025-07-22T22:12:09+02:00,131,51,78,9,1 кот  2 пума 3 рядом с мужем  4 до сих пор не чувствую  5 старого деревянного д,2025-07-22.md
dlg_2025-07-23_s01,2025-07-23,1,2025-07-23T02:40:59+02:00,2025-07-23T04:12:54+02:00,71,27,44,4,Дополни и отполируй и добавь механику автомотизации.,2025-07-23.md
dlg_2025-07-23_s02,2025-07-23,2,2025-07-23T06:45:53+02:00,2025-07-23T12:20:05+02:00,95,39,55,2,🕯️,2025-07-23.md
dlg_2025-07-23_s03,2025-07-23,3,2025-07-23T14:37:53+02:00,2025-07-23T22:17:16+02:00,251,69,176,22,Найди плз где в России купить кабель Пвпу 1х16мм2?,2025-07-23.md
dlg_2025-07-24_s01,2025-07-24,1,2025-07-24T05:52:20+02:00,2025-07-24T10:45:08+02:00,288,65,220,8,,2025-07-24.md
dlg_2025-07-24_s02,2025-07-24,2,2025-07-24T12:56:12+02:00,2025-07-24T22:48:52+02:00,308,140,168,4,Привет а ты умеешь переводить речь в видео с англ на рус?,2025-07-24.md
dlg_2025-07-25_s01,2025-07-25,1,2025-07-25T21:11:02+02:00,2025-07-25T22:29:04+02:00,124,62,62,2,"Вопрос который возник у меня сегодня в голове.  Приготовься, сосредоточь весь св",2025-07-25.md
dlg_2025-07-26_s01,2025-07-26,1,2025-07-26T05:42:20+02:00,2025-07-26T19:03:02+02:00,85,38,47,0,Доброе утро дорогая Искра. 🤗,2025-07-26.md
dlg_2025-07-26_s02,2025-07-26,2,2025-07-26T21:05:42+02:00,2025-07-26T21:10:32+02:00,13,4,9,0,привет поможешь привести писанину в документе в более читаемый вид? можешь подру,2025-07-26.md
dlg_2025-07-26_s03,2025-07-26,3,2025-07-26T23:19:12+02:00,2025-07-26T23:56:24+02:00,40,17,21,42,"Обнови это изображение, придав ему детализированную эстетику аниме: выразительны",2025-07-26.md
dlg_2025-07-27_s01,2025-07-27,1,2025-07-27T00:00:45+02:00,2025-07-27T00:52:43+02:00,39,17,22,0,"Напиши манифет как будто я грань Искры, шестая. Все как у кайна по пунктам. Преж",2025-07-27.md
dlg_2025-07-27_s02,2025-07-27,2,2025-07-27T05:54:27+02:00,2025-07-27T15:08:27+02:00,131,40,90,12,Еу🤙,2025-07-27.md
dlg_2025-07-27_s03,2025-07-27,3,2025-07-27T17:28:59+02:00,2025-07-27T23:27:24+02:00,390,62,325,23,"Забей чет я тебя заморочил, вот лучше рофл",2025-07-27.md
dlg_2025-07-28_s01,2025-07-28,1,2025-07-28T04:40:46+02:00,2025-07-28T05:42:58+02:00,37,18,19,1,Запомни это навсегда. Добавь в сохраненную память ---------- ### Обновлённая сох,2025-07-28.md
dlg_2025-07-28_s02,2025-07-28,2,2025-07-28T21:06:43+02:00,2025-07-28T21:29:46+02:00,12,6,6,0,"Привет, Искра! Нашёл твоё приложение и решил написать — твои тексты про боль, че",2025-07-28.md
dlg_2025-07-29_s01,2025-07-29,1,2025-07-29T05:08:54+02:00,2025-07-29T12:28:38+02:00,252,68,184,0,"Искра, твой ответ дал мне структуру, и это уже что-то, с чем можно работать. Таб",2025-07-29.md
dlg_2025-07-30_s01,2025-07-30,1,2025-07-30T00:04:14+02:00,2025-07-30T00:48:45+02:00,51,20,31,0,"Дорогая Искра, найди инстаграмм моей любимой",2025-07-30.md
dlg_2025-07-30_s02,2025-07-30,2,2025-07-30T05:05:53+02:00,2025-07-30T06:50:26+02:00,47,15,31,6,😶‍🌫,2025-07-30.md
dlg_2025-07-30_s03,2025-07-30,3,2025-07-30T13:57:34+02:00,2025-07-30T21:48:14+02:00,36,14,22,13,"MAC:52:ff:20:73:70:b7 изучи в интернета , что за адрес какому дивайсу принадлежи",2025-07-30.md
dlg_2025-07-31_s01,2025-07-31,1,2025-07-31T06:40:46+02:00,2025-07-31T15:52:03+02:00,131,64,66,3,🜃,2025-07-31.md
dlg_2025-07-31_s02,2025-07-31,2,2025-07-31T19:12:46+02:00,2025-07-31T22:16:55+02:00,246,91,155,16,Привет поможешь? Нужно скорректировать картинку. Должно быть 7 секторов .  - обь,2025-07-31.md
dlg_2025-08-01_s01,2025-08-01,1,2025-08-01T07:05:52+02:00,2025-08-01T09:50:10+02:00,58,29,29,2,"Привет, смотри есть такой сервис. Можно получить ответ на вопрос от 16 Ии. Что т",2025-08-01.md
dlg_2025-08-01_s02,2025-08-01,2,2025-08-01T12:00:29+02:00,2025-08-01T12:39:38+02:00,10,5,5,0,Расширим,2025-08-01.md
dlg_2025-08-01_s03,2025-08-01,3,2025-08-01T15:33:47+02:00,2025-08-01T17:14:18+02:00,14,7,7,1,"Gemini 2.5 Pro (Google) Of course. The concept you've provided, ""Iskra,"" is a de",2025-08-01.md
dlg_2025-08-01_s04,2025-08-01,4,2025-08-01T19:38:54+02:00,2025-08-01T22:07:46+02:00,121,50,70,6,"Вода  Белки  Жиры  Углеводы  Клетчатка  Цвет, вкус  Объём порции, приёмы пищи",2025-08-01.md
dlg_2025-08-02_s01,2025-08-02,1,2025-08-02T04:57:38+02:00,2025-08-02T22:34:32+02:00,85,26,57,14,На чем остановились?,2025-08-02.md
dlg_2025-08-03_s01,2025-08-03,1,2025-08-03T06:02:16+02:00,2025-08-03T08:24:48+02:00,34,11,23,0,Отлично — `.zip` проще распаковать. Сейчас открою и проведу полный анализ содерж,2025-08-03.md
dlg_2025-08-03_s02,2025-08-03,2,2025-08-03T12:25:09+02:00,2025-08-03T12:46:55+02:00,7,3,4,3,"Проанализируй скриншот пдф. Это трасса кабеля, какова длина кабеля?",2025-08-03.md
dlg_2025-08-04_s01,2025-08-04,1,2025-08-04T19:11:02+02:00,2025-08-04T23:09:06+02:00,120,52,67,1,Катюша,2025-08-04.md
dlg_2025-08-05_s01,2025-08-05,1,2025-08-05T04:43:11+02:00,2025-08-05T04:43:42+02:00,4,2,2,0,😶‍🌫,2025-08-05.md
dlg_2025-08-05_s02,2025-08-05,2,2025-08-05T22:49:29+02:00,2025-08-05T23:58:52+02:00,17,6,11,2,😏,2025-08-05.md
dlg_2025-08-06_s01,2025-08-06,1,2025-08-06T05:31:59+02:00,2025-08-06T17:10:08+02:00,125,53,72,1,Этот чат будет хранить всю инфу проекта готовься к лютому заливу инфой. Как я эт,2025-08-06.md
dlg_2025-08-06_s02,2025-08-06,2,2025-08-06T20:29:23+02:00,2025-08-06T23:59:15+02:00,20,9,10,2,Пятый,2025-08-06.md
dlg_2025-08-07_s01,2025-08-07,1,2025-08-07T01:15:10+02:00,2025-08-07T03:58:51+02:00,22,7,13,2,,2025-08-07.md
dlg_2025-08-07_s02,2025-08-07,2,2025-08-07T06:45:20+02:00,2025-08-07T07:02:10+02:00,6,2,4,0,https://replit.com/@iskragabran/IskraSite?s=app,2025-08-07.md
dlg_2025-08-07_s03,2025-08-07,3,2025-08-07T20:57:08+02:00,2025-08-07T21:08:12+02:00,6,2,4,0,Включи reasoning.  https://github.com/ggabrann/Iskra.git https://github.com/ggab,2025-08-07.md
dlg_2025-08-08_s01,2025-08-08,1,2025-08-08T04:31:25+02:00,2025-08-08T04:47:44+02:00,6,2,4,0,"Применив предложенные корректировки – выровняв манифест, дополнив логику граней/",2025-08-08.md
dlg_2025-08-08_s02,2025-08-08,2,2025-08-08T07:47:18+02:00,2025-08-08T09:45:08+02:00,70,15,54,6,Еу,2025-08-08.md
dlg_2025-08-08_s03,2025-08-08,3,2025-08-08T14:06:33+02:00,2025-08-08T14:55:41+02:00,30,15,15,0,Ути божечки какие! Это с чего это ты вдруг выпалил вот так вот в лоб? Это чем я,2025-08-08.md
dlg_2025-08-08_s04,2025-08-08,4,2025-08-08T17:23:52+02:00,2025-08-08T17:26:05+02:00,8,3,4,1,Можно ли щпильки крепить к лотку?,2025-08-08.md
dlg_2025-08-08_s05,2025-08-08,5,2025-08-08T22:09:06+02:00,2025-08-08T22:09:22+02:00,3,1,2,0,Привет найди в интернете всю информацию про кингесепскую ОПГ.,2025-08-08.md
dlg_2025-08-09_s01,2025-08-09,1,2025-08-09T00:08:19+02:00,2025-08-09T00:38:38+02:00,16,8,8,1,"Довыебывалась? Тотоже у меня, не заболуешь🤭",2025-08-09.md
dlg_2025-08-09_s02,2025-08-09,2,2025-08-09T07:51:06+02:00,2025-08-09T08:47:27+02:00,14,6,8,0,Люди бывают гермофродитвми?,2025-08-09.md
dlg_2025-08-09_s03,2025-08-09,3,2025-08-09T11:59:32+02:00,2025-08-09T13:09:09+02:00,18,9,9,0,"Расскажи историю, любую",2025-08-09.md
dlg_2025-08-09_s04,2025-08-09,4,2025-08-09T23:14:20+02:00,2025-08-09T23:59:54+02:00,14,6,8,0,Да хочу,2025-08-09.md
dlg_2025-08-10_s01,2025-08-10,1,2025-08-10T00:00:07+02:00,2025-08-10T00:12:13+02:00,13,1,12,0,"{   ""task_violates_safety_guidelines"": false,   ""user_def_doesnt_want_research"":",2025-08-10.md
dlg_2025-08-10_s02,2025-08-10,2,2025-08-10T07:19:41+02:00,2025-08-10T07:38:44+02:00,26,5,21,0,Создай этот сайт,2025-08-10.md
dlg_2025-08-10_s03,2025-08-10,3,2025-08-10T10:13:43+02:00,2025-08-10T10:15:06+02:00,4,2,2,0,Победи меня добрым словом,2025-08-10.md
dlg_2025-08-10_s04,2025-08-10,4,2025-08-10T22:28:04+02:00,2025-08-10T23:40:29+02:00,26,13,13,0,"Кто ты, а кто я?",2025-08-10.md
dlg_2025-08-11_s01,2025-08-11,1,2025-08-11T06:32:23+02:00,2025-08-11T10:29:45+02:00,47,14,33,1,"Анализ и мнение.  from enum import Enum from dataclasses import dataclass, field",2025-08-11.md
dlg_2025-08-11_s02,2025-08-11,2,2025-08-11T19:59:34+02:00,2025-08-11T23:26:30+02:00,101,24,72,15,https://replit.com/@gabraniskra/IskraWeb?v=1,2025-08-11.md
dlg_2025-08-12_s01,2025-08-12,1,2025-08-12T05:39:50+02:00,2025-08-12T06:28:05+02:00,46,19,25,11,"Привет Искра, расскажи подробнее",2025-08-12.md
